,tad,lambdan,p-value,n,max.lambdan
1,chr10:9370000-10880000,1.88E-15,1,16,1.862464057
2,chr10:21560000-23380000,-3.14E-16,1,19,2.716893272
3,chr10:73800000-74970000,-2.51E-15,1,12,2.395082962
4,chr10:132020000-133370000,-4.40E-15,1,14,1.6635939
5,chr10:64190000-65540000,-1.57E-15,1,15,2.124137287
6,chr10:13390000-15200000,9.42E-16,1,19,2.398218394
7,chr10:23420000-24850000,-1.57E-15,1,15,1.808810347
8,chr10:77030000-78870000,-6.28E-16,1,19,2.147373441
9,chr10:133960000-135470000,0,1,16,2.21719422
10,chr10:57590000-58680000,0,1,12,2.109017508
11,chr10:73660000-74980000,0,1,14,2.175540949
12,chr10:120780000-121670000,-6.28E-16,1,10,1.735719126
13,chr10:44140000-45380000,0,1,13,1.705984038
14,chr10:78890000-79780000,3.14E-16,1,10,2.254185835
15,chr10:26590000-27650000,-6.28E-16,1,12,2.028184117
16,chr10:12220000-13140000,1.57E-15,1,10,1.841828853
17,chr10:1230000-3080000,3.14E-16,1,19,2.458103309
18,chr10:20050000-21060000,4.24E-15,1,11,1.83712993
19,chr10:27680000-28700000,-4.55E-15,1,11,1.538316532
20,chr10:109070000-110300000,4.08E-15,1,13,1.797476844
21,chr10:3210000-4750000,-3.77E-15,1,16,2.120342415
22,chr10:6460000-7830000,0,1,15,1.977991951
23,chr10:22270000-23380000,-2.51E-15,1,12,1.880201425
24,chr10:98120000-99040000,7.85E-16,1,10,1.847233828
25,chr10:98120000-99140000,-1.10E-15,1,11,1.935856366
26,chr10:7880000-9340000,3.14E-16,1,16,1.895700193
27,chr10:72170000-73580000,4.71E-16,1,15,2.227531382
28,chr10:35910000-37160000,-9.42E-16,1,13,1.798731426
29,chr10:91530000-92470000,-3.14E-16,1,10,1.667766736
30,chr10:130820000-131970000,-9.42E-16,1,12,2.090310408
31,chr10:62560000-63470000,1.57E-15,1,10,1.760320631
32,chr10:76000000-76990000,4.08E-15,1,10,1.965235446
33,chr10:114230000-115340000,-3.77E-15,1,12,1.59306722
34,chr10:6770000-7830000,-2.20E-15,1,12,2.011880733
35,chr10:30970000-32100000,1.57E-15,1,12,2.15872894
36,chr10:15910000-16850000,-2.67E-15,1,10,1.737427059
37,chr10:109140000-110020000,6.28E-16,1,10,1.811277874
38,chr10:87280000-88130000,1.57E-15,1,10,1.800113409
39,chr10:79800000-80990000,-9.42E-16,1,12,1.769795055
40,chr11:48180000-50770000,1.88E-15,1,27,2.009150799
41,chr11:48190000-49610000,9.42E-16,1,16,1.766129105
42,chr11:46720000-47730000,1.41E-15,1,11,1.90982928
43,chr11:114560000-116580000,2.04E-15,1,21,1.981218124
44,chr11:35560000-36540000,4.55E-15,1,11,1.727505029
45,chr11:114990000-116570000,1.02E-14,1,17,1.959401845
46,chr11:129710000-130800000,3.45E-15,1,11,1.841311073
47,chr11:126290000-127660000,-2.04E-15,1,15,1.738311414
