,tad,lambdan,p-value,n,max.lambdan
1595,chr2:46680000-47120000,-0.6,0.548506236,10,1.857871974
1784,chr3:17930000-18380000,-0.6,0.548506236,10,1.812381619
110,chr10:61380000-61820000,-0.6,0.548506236,10,1.726153838
200,chr11:12960000-13410000,-0.6,0.548506236,10,2.019232787
716,chr16:11480000-11930000,-0.6,0.548506236,10,2.03804008
724,chr16:11040000-11470000,-0.6,0.548506236,10,2.079005256
1111,chr1:78600000-79060000,-0.6,0.548506236,10,1.530672411
1127,chr1:185200000-185660000,-0.6,0.548506236,10,1.739616289
1551,chr2:55930000-56360000,-0.6,0.548506236,10,1.634431007
1585,chr2:23990000-24430000,-0.6,0.548506236,10,1.939142123
1620,chr2:236040000-236490000,-0.6,0.548506236,10,1.829850009
1885,chr4:117250000-117740000,-0.6,0.548506236,10,1.548613407
1942,chr4:162160000-162640000,-0.6,0.548506236,10,1.627272591
2268,chr6:165830000-166270000,-0.6,0.548506236,10,1.661347929
2418,chr7:28400000-28900000,-0.6,0.548506236,10,1.932738398
89,chr10:85160000-85630000,-0.6,0.548506236,10,1.664372401
91,chr10:120290000-120720000,-0.6,0.548506236,10,1.753482695
97,chr10:16870000-17320000,-0.6,0.548506236,10,1.670888688
111,chr10:44930000-45370000,-0.6,0.548506236,10,1.479493351
179,chr11:86130000-86560000,-0.6,0.548506236,10,1.548019172
216,chr11:65380000-65810000,-0.6,0.548506236,10,1.455326322
221,chr11:78350000-78840000,-0.6,0.548506236,10,1.621470986
224,chr11:44110000-44560000,-0.6,0.548506236,10,1.83623662
236,chr11:67770000-68230000,-0.6,0.548506236,10,1.688645
346,chr12:95470000-95940000,-0.6,0.548506236,10,2.134302485
509,chr14:25170000-25620000,-0.6,0.548506236,10,1.982881871
515,chr14:75580000-76030000,-0.6,0.548506236,10,1.82873785
561,chr14:91990000-92430000,-0.6,0.548506236,10,1.933377013
569,chr14:97710000-98190000,-0.6,0.548506236,10,1.662255131
635,chr15:73570000-74040000,-0.6,0.548506236,10,1.901656616
638,chr15:35320000-35780000,-0.6,0.548506236,10,1.658814726
650,chr15:96400000-96880000,-0.6,0.548506236,10,1.763936564
717,chr16:74720000-75180000,-0.6,0.548506236,10,1.843648096
757,chr17:62770000-63210000,-0.6,0.548506236,10,1.73165837
786,chr17:66030000-66500000,-0.6,0.548506236,10,1.672039246
996,chr1:102970000-103440000,-0.6,0.548506236,10,1.841483137
1067,chr1:25670000-26140000,-0.6,0.548506236,10,1.635637253
1144,chr1:117110000-117600000,-0.6,0.548506236,10,1.759591261
1149,chr1:75690000-76120000,-0.6,0.548506236,10,1.538088109
1162,chr1:8450000-8920000,-0.6,0.548506236,10,2.003773759
1164,chr1:172710000-173160000,-0.6,0.548506236,10,1.858772355
1166,chr1:34100000-34570000,-0.6,0.548506236,10,1.753421508
1217,chr20:44600000-45070000,-0.6,0.548506236,10,1.871139213
1389,chrX:24730000-25180000,-0.6,0.548506236,10,1.748850429
1526,chr2:152410000-152870000,-0.6,0.548506236,10,1.864401723
1563,chr2:37620000-38100000,-0.6,0.548506236,10,2.00972908
1602,chr2:180990000-181410000,-0.6,0.548506236,10,1.523913587
1610,chr2:6210000-6660000,-0.6,0.548506236,10,1.583782368
1613,chr2:191240000-191690000,-0.6,0.548506236,10,1.983390842
1730,chr3:86790000-87240000,-0.6,0.548506236,10,1.706904274
1772,chr3:127290000-127750000,-0.6,0.548506236,10,1.687844631
1778,chr3:99530000-99980000,-0.6,0.548506236,10,1.691153046
1780,chr3:118960000-119420000,-0.6,0.548506236,10,1.560823972
1787,chr3:176730000-177160000,-0.6,0.548506236,10,1.724145108
1798,chr3:100030000-100480000,-0.6,0.548506236,10,1.722725503
1801,chr3:126770000-127250000,-0.6,0.548506236,10,1.83027611
1967,chr5:49650000-50140000,-0.6,0.548506236,10,1.93579028
2083,chr5:82340000-82760000,-0.6,0.548506236,10,1.824522155
2110,chr5:155570000-156040000,-0.6,0.548506236,10,1.767136834
2144,chr6:26600000-27070000,-0.6,0.548506236,10,1.728795394
2194,chr6:31460000-31930000,-0.6,0.548506236,10,1.944928975
2228,chr6:70430000-70870000,-0.6,0.548506236,10,1.620443626
2250,chr6:110830000-111300000,-0.6,0.548506236,10,2.149146811
2271,chr6:38820000-39290000,-0.6,0.548506236,10,1.743125016
2272,chr6:86460000-86920000,-0.6,0.548506236,10,1.839025646
2415,chr7:20780000-21240000,-0.6,0.548506236,10,1.745438658
2518,chr8:79400000-79870000,-0.6,0.548506236,10,1.784569668
2568,chr8:90240000-90680000,-0.6,0.548506236,10,1.540022764
2586,chr8:134490000-134910000,-0.6,0.548506236,10,2.052875658
2624,chr9:138720000-139160000,-0.6,0.548506236,10,1.903774061
84,chr10:91000000-91490000,-0.6,0.548506236,10,1.416439095
92,chr10:107520000-108000000,-0.6,0.548506236,10,1.807296809
101,chr10:21780000-22250000,-0.6,0.548506236,10,1.983912697
112,chr10:98340000-98780000,-0.6,0.548506236,10,1.744814473
113,chr10:109140000-109570000,-0.6,0.548506236,10,1.629473185
116,chr10:8070000-8510000,-0.6,0.548506236,10,1.760842195
204,chr11:130310000-130760000,-0.6,0.548506236,10,1.592508352
238,chr11:115630000-116090000,-0.6,0.548506236,10,1.820004867
351,chr12:118870000-119310000,-0.6,0.548506236,10,1.503063161
454,chr13:24030000-24460000,-0.6,0.548506236,10,1.768926808
469,chr13:30700000-31200000,-0.6,0.548506236,10,1.925115266
470,chr13:106720000-107190000,-0.6,0.548506236,10,1.624286029
521,chr14:96010000-96490000,-0.6,0.548506236,10,1.82027768
560,chr14:90760000-91230000,-0.6,0.548506236,10,1.646705653
641,chr15:73080000-73510000,-0.6,0.548506236,10,1.528782255
647,chr15:58010000-58480000,-0.6,0.548506236,10,1.758654936
665,chr16:29600000-30060000,-0.6,0.548506236,10,1.66321084
721,chr16:19920000-20380000,-0.6,0.548506236,10,1.934404478
753,chr17:25510000-25970000,-0.6,0.548506236,10,1.704449907
758,chr17:34960000-35440000,-0.6,0.548506236,10,1.992585026
793,chr17:70720000-71180000,-0.6,0.548506236,10,1.798533466
800,chr17:41470000-41910000,-0.6,0.548506236,10,1.937666132
872,chr18:47480000-47950000,-0.6,0.548506236,10,2.017645268
1055,chr1:78030000-78460000,-0.6,0.548506236,10,1.511015234
1119,chr1:28140000-28560000,-0.6,0.548506236,10,1.718626518
1122,chr1:71050000-71510000,-0.6,0.548506236,10,1.980950757
1161,chr1:63340000-63760000,-0.6,0.548506236,10,1.68814463
1168,chr1:10550000-11010000,-0.6,0.548506236,10,1.853493947
1171,chr1:246180000-246630000,-0.6,0.548506236,10,1.626456397
1198,chr20:24940000-25400000,-0.6,0.548506236,10,1.81452143
1208,chr20:52840000-53270000,-0.6,0.548506236,10,1.668112884
1233,chr20:33410000-33860000,-0.6,0.548506236,10,1.817291388
1442,chr2:239400000-239890000,-0.6,0.548506236,10,1.631808299
1534,chr2:99220000-99690000,-0.6,0.548506236,10,2.008683228
1540,chr2:106710000-107200000,-0.6,0.548506236,10,1.575503978
1583,chr2:236670000-237110000,-0.6,0.548506236,10,1.638204515
1616,chr2:207030000-207480000,-0.6,0.548506236,10,1.532091928
1686,chr3:89730000-90170000,-0.6,0.548506236,10,1.69773758
1951,chr4:146660000-147140000,-0.6,0.548506236,10,1.625836644
2064,chr5:34480000-34910000,-0.6,0.548506236,10,1.537858033
2073,chr5:145920000-146360000,-0.6,0.548506236,10,1.650424255
2104,chr5:1170000-1650000,-0.6,0.548506236,10,1.843209132
2106,chr5:162970000-163430000,-0.6,0.548506236,10,1.629814359
2116,chr5:108010000-108500000,-0.6,0.548506236,10,2.046252549
2123,chr5:132810000-133290000,-0.6,0.548506236,10,1.6055748
2292,chr7:141520000-142000000,-0.6,0.548506236,10,1.846211295
2307,chr7:350000-810000,-0.6,0.548506236,10,1.750704499
2343,chr7:92210000-92700000,-0.6,0.548506236,10,1.80255603
2364,chr7:98490000-98950000,-0.6,0.548506236,10,2.275459002
2372,chr7:120760000-121210000,-0.6,0.548506236,10,1.884052028
2409,chr7:25900000-26400000,-0.6,0.548506236,10,2.103107614
2426,chr7:15340000-15760000,-0.6,0.548506236,10,1.659571882
2439,chr7:117380000-117810000,-0.6,0.548506236,10,1.834691599
2542,chr8:8080000-8530000,-0.6,0.548506236,10,2.106370266
2545,chr8:48210000-48660000,-0.6,0.548506236,10,1.566548723
2665,chr9:97420000-97900000,-0.6,0.548506236,10,1.925205024
52,chr10:85880000-86320000,-0.6,0.548506236,10,2.059794239
69,chr10:101540000-101990000,-0.6,0.548506236,10,1.772349372
107,chr10:13170000-13620000,-0.6,0.548506236,10,1.882533897
109,chr10:12270000-12750000,-0.6,0.548506236,10,1.79867514
114,chr10:15950000-16410000,-0.6,0.548506236,10,1.741890487
115,chr10:76020000-76490000,-0.6,0.548506236,10,1.648181184
173,chr11:87830000-88270000,-0.6,0.548506236,10,1.75010411
185,chr11:19130000-19570000,-0.6,0.548506236,10,1.978764506
220,chr11:120370000-120820000,-0.6,0.548506236,10,1.564063026
307,chr12:85810000-86300000,-0.6,0.548506236,10,1.621600132
320,chr12:57130000-57590000,-0.6,0.548506236,10,1.661520513
331,chr12:55560000-56020000,-0.6,0.548506236,10,1.569847018
336,chr12:48100000-48580000,-0.6,0.548506236,10,1.642440042
349,chr12:1220000-1700000,-0.6,0.548506236,10,1.768403666
360,chr12:53400000-53900000,-0.6,0.548506236,10,1.827519796
