"chr"	"start"	"end"	"region"	"lambdan"	"pvalue"	"nd"	"BH"
"1"	"10"	80730000	83950000	"10:80730000-83950000"	10.1030794447052	1.25898180769468e-11	129	1.90380646432805e-10
"2"	"10"	52810000	57650000	"10:52810000-57650000"	44.4745157690932	0	194	0
"3"	"10"	104540000	109840000	"10:104540000-109840000"	99.390864954997	0	213	0
"4"	"10"	36910000	39550000	"10:36910000-39550000"	13.6036809800626	1.11022302462516e-16	106	2.06221741345728e-15
"5"	"10"	63860000	67550000	"10:63860000-67550000"	71.4596073110087	0	148	0
"6"	"10"	75270000	76870000	"10:75270000-76870000"	30.7517128276754	0	65	0
"7"	"10"	25260000	26560000	"10:25260000-26560000"	18.0045042109667	0	53	0
"8"	"10"	33180000	34640000	"10:33180000-34640000"	3.21478231551258	0.00112091950119386	59	0.00732478975987901
"9"	"10"	50980000	52020000	"10:50980000-52020000"	12.5188365801777	3.21964677141295e-15	42	5.71063664192719e-14
"10"	"10"	21980000	23090000	"10:21980000-23090000"	15.2142466337179	0	45	0
"11"	"10"	84540000	86380000	"10:84540000-86380000"	15.153456069176	0	75	0
"12"	"10"	128190000	130100000	"10:128190000-130100000"	28.7451425663617	0	77	0
"13"	"10"	1710000	2910000	"10:1710000-2910000"	4.88387286207506	3.13360792909556e-05	49	0.000266865743853301
"14"	"10"	3770000	4780000	"10:3770000-4780000"	0.922558114026751	0.0540795585724436	42	0.210170805061605
"15"	"10"	8080000	9220000	"10:8080000-9220000"	5.4427953724141	8.20904343623585e-06	46	7.47688550813914e-05
"16"	"10"	89780000	90860000	"10:89780000-90860000"	6.28969015850001	9.56632069226693e-07	44	9.64399594575115e-06
"17"	"10"	35610000	36870000	"10:35610000-36870000"	6.23119942949022	1.114657501744e-06	51	1.11892640281451e-05
"18"	"10"	130210000	131870000	"10:130210000-131870000"	0.630919031197295	0.0796898750748257	67	0.278150102442405
"19"	"10"	111120000	112110000	"10:111120000-112110000"	3.40217203515792	0.000769663783064201	41	0.00523238289408775
"20"	"10"	119950000	120880000	"10:119950000-120880000"	7.26440284960555	6.82963043896478e-08	38	7.74572029111439e-07
"21"	"10"	117490000	118250000	"10:117490000-118250000"	11.7273981995667	5.26245713672324e-14	31	8.86724027537866e-13
"22"	"10"	23550000	24180000	"10:23550000-24180000"	2.40015923126311	0.00520151675039826	26	0.0290767251521078
"23"	"10"	98470000	99270000	"10:98470000-99270000"	4.56489564145335	6.52835441982136e-05	33	0.00053104786470202
"24"	"10"	125840000	126510000	"10:125840000-126510000"	3.13662144539997	0.00130771071708036	28	0.00833753940970963
"25"	"10"	126780000	127440000	"10:126780000-127440000"	0.771794866785543	0.0662968915879167	27	0.244366198837337
"26"	"10"	75300000	76040000	"10:75300000-76040000"	-2.13956827868769	0.763690402063428	30	0.787733125696382
"27"	"10"	86390000	86630000	"10:86390000-86630000"	-0.869373070888175	0.377166221111907	11	0.601549301719508
"28"	"10"	44450000	44850000	"10:44450000-44850000"	-1.31746802043773	0.51554312910221	16	0.664571716695144
"29"	"10"	123580000	124390000	"10:123580000-124390000"	13.3497018794109	1.11022302462516e-16	33	2.06221741345728e-15
"30"	"10"	101240000	101560000	"10:101240000-101560000"	-0.793595422616683	0.355235131775192	14	0.592343075320162
"31"	"10"	93900000	94310000	"10:93900000-94310000"	-1.45761903444197	0.560260807728238	17	0.680255642778187
"32"	"10"	60440000	60770000	"10:60440000-60770000"	-0.985111272939395	0.411678810283481	14	0.619322156428942
"33"	"10"	93540000	93860000	"10:93540000-93860000"	-0.916365770592212	0.391039857590776	14	0.60723672988519
"34"	"10"	92040000	92460000	"10:92040000-92460000"	-2.16268703651702	0.769736743186031	18	0.791202168704073
"35"	"10"	119610000	119900000	"10:119610000-119900000"	-1.01265278446057	0.420051737433338	12	0.623208835600783
"36"	"10"	17850000	18230000	"10:17850000-18230000"	-1.72151964450525	0.64327393005778	16	0.718505303506773
"37"	"10"	95970000	96330000	"10:95970000-96330000"	0.937515126441754	0.0529781100686871	16	0.206912850417273
"38"	"10"	3190000	3760000	"10:3190000-3760000"	0.338696589142802	0.114421477439247	24	0.348734192867162
"39"	"10"	113790000	114120000	"10:113790000-114120000"	1.09576305621457	0.0424354297062034	14	0.174095962916407
"40"	"10"	90890000	91270000	"10:90890000-91270000"	1.39348221986171	0.0274001905859257	16	0.122187239304723
"41"	"10"	70460000	70880000	"10:70460000-70880000"	-1.65370363873447	0.622246196026756	18	0.706334639130778
"42"	"10"	112130000	112410000	"10:112130000-112410000"	0.976047248085425	0.050226351087822	12	0.199132709607012
"43"	"10"	73830000	74110000	"10:73830000-74110000"	-1.50733609036636	0.576089379348239	12	0.685668438891269
"44"	"10"	84290000	84530000	"10:84290000-84530000"	-1.12986281025134	0.456252156915238	11	0.639069934808946
"45"	"10"	88560000	88810000	"10:88560000-88810000"	0.68838338974755	0.073982575868652	11	0.262443453344586
"46"	"10"	120940000	121720000	"10:120940000-121720000"	1.85523258161668	0.0132280917660382	32	0.0663771763863936
"47"	"10"	116800000	117170000	"10:116800000-117170000"	1.28744948892914	0.0321141306472095	15	0.139259621685234
"48"	"10"	110310000	110580000	"10:110310000-110580000"	-0.839248149998688	0.368379757271104	12	0.596846049040201
"49"	"10"	117190000	117450000	"10:117190000-117450000"	-0.0717268961796727	0.181459380396618	11	0.441475566808343
"50"	"10"	16830000	17250000	"10:16830000-17250000"	1.90163239866877	0.0122547672504616	17	0.0624384361637989
"51"	"10"	15920000	16380000	"10:15920000-16380000"	0.556179335889061	0.0876412846078504	20	0.293793331313733
"52"	"10"	125160000	125710000	"10:125160000-125710000"	-0.191477167307264	0.205397590697172	23	0.466794717200991
"53"	"10"	32460000	32770000	"10:32460000-32770000"	-1.97033617426868	0.717257766271466	13	0.756037118245929
"54"	"10"	59240000	59590000	"10:59240000-59590000"	-0.851910362535114	0.372062540750461	15	0.5978852408926
"55"	"10"	35310000	35580000	"10:35310000-35580000"	-0.811573690872947	0.360386266979185	12	0.594927364453392
"56"	"10"	7490000	7720000	"10:7490000-7720000"	-0.602555258015359	0.302693666856193	10	0.560042635383341
"57"	"10"	86690000	86910000	"10:86690000-86910000"	-0.92629050122199	0.393995107263178	10	0.609865129943463
"58"	"10"	101820000	102060000	"10:101820000-102060000"	-0.942252355598212	0.398766384150898	11	0.610826823764735
"59"	"10"	30370000	30620000	"10:30370000-30620000"	-1.74483516559309	0.650433487440486	11	0.722337063921035
"60"	"10"	10670000	11030000	"10:10670000-11030000"	0.00781176780843004	0.166674191269867	16	0.427839409364109
"61"	"10"	11490000	11740000	"10:11490000-11740000"	0.00810501675718347	0.166621324655942	11	0.427839409364109
"62"	"10"	30760000	31020000	"10:30760000-31020000"	-1.56159920922395	0.593296800125721	11	0.693269210697908
"63"	"10"	97410000	97690000	"10:97410000-97690000"	0.578824747154639	0.0851678318900937	12	0.288665108374614
"64"	"10"	119180000	119450000	"10:119180000-119450000"	-1.98752982547047	0.722138613532985	11	0.759146608433295
"65"	"10"	122740000	123010000	"10:122740000-123010000"	-0.796798109977806	0.356150133393922	12	0.592343075320162
"66"	"10"	34660000	34980000	"10:34660000-34980000"	0.0690673856914861	0.155888181790953	14	0.414121870320787
"67"	"10"	14890000	15110000	"10:14890000-15110000"	-0.21570356044338	0.210486171035825	10	0.470068210383439
"68"	"10"	97750000	98110000	"10:97750000-98110000"	-0.744455447473796	0.341327391472341	15	0.58469260424918
"69"	"10"	11060000	11390000	"10:11060000-11390000"	0.482421983870273	0.0960987929282177	14	0.312685589679539
"70"	"10"	122270000	122570000	"10:122270000-122570000"	-0.432633516575535	0.25970829224592	13	0.525032002594504
"71"	"10"	12240000	12700000	"10:12240000-12700000"	-1.19612303830909	0.477049258528861	19	0.648574590061143
"72"	"10"	15430000	15740000	"10:15430000-15740000"	-0.747492979809953	0.342179789499141	13	0.58469260424918
