,tad,lambdan,p-value,n,max.lambdan
1,chr10:46940000-47760000,0.128758433,0.897548798,16,2.1121473
2,chr10:127610000-128300000,-0.306955059,0.758877579,14,1.803739065
3,chr10:9370000-10880000,-0.080455294,0.935875151,31,2.04935326
4,chr10:21560000-23380000,3.150915407,0.001627596,37,3.065132034
5,chr10:73800000-74970000,-0.817693485,0.413532232,24,2.635781021
6,chr10:132020000-133370000,-0.264505181,0.791390673,28,1.794407281
7,chr10:38100000-38670000,-0.17084628,0.864344638,12,1.70301414
8,chr10:64190000-65540000,0.256254049,0.797754677,28,2.141994631
9,chr10:45730000-46320000,-0.031614093,0.974779804,13,1.916518567
10,chr10:13390000-15200000,-0.150245311,0.880571078,37,2.468696653
11,chr10:23420000-24850000,-0.266255416,0.790042507,29,1.893288591
12,chr10:77030000-78870000,-0.352290675,0.72462028,38,2.118862858
13,chr10:14530000-15200000,-0.570962603,0.568024993,14,2.059806659
14,chr10:133960000-135470000,-0.0853756,0.931962791,31,2.512751992
15,chr10:57590000-58680000,0.078433157,0.937483499,23,2.174893177
16,chr10:73660000-74980000,-0.781561362,0.434472401,27,2.523545449
17,chr10:120780000-121670000,-0.029515245,0.976453661,19,1.930692037
18,chr10:44140000-45380000,-0.146566979,0.883473819,26,2.019269555
19,chr10:78890000-79780000,-0.151210704,0.879809507,19,2.110619364
20,chr10:81250000-82030000,-0.774674887,0.438531794,16,2.000521089
21,chr10:19190000-19960000,-0.225141355,0.82186931,17,1.840949743
22,chr10:26590000-27650000,0.787541947,0.430964683,22,2.264606904
23,chr10:12220000-13140000,-0.464607735,0.642212392,19,1.806336002
24,chr10:1230000-3080000,0.678398204,0.497519248,38,2.420825449
25,chr10:20050000-21060000,-0.111445989,0.911262693,21,1.819301186
26,chr10:27680000-28700000,-0.442502919,0.658125319,21,1.817002941
27,chr10:109070000-110300000,-0.164805936,0.869096732,25,1.732474014
28,chr10:3210000-4750000,0.585998607,0.557876451,31,2.395685995
29,chr10:6460000-7830000,0.492013483,0.622709812,28,2.3810785
30,chr10:119210000-120050000,-0.449790627,0.652861417,17,1.914127135
31,chr10:22270000-23380000,0.012841404,0.989754324,23,2.083739907
