"chr"	"start"	"end"	"region"	"lambdan"	"pvalue"	"nd"	"BH"
"1"	"1"	68985000	70260000	"1:68985000-70260000"	19.0253309504952	0	52	0
"2"	"1"	49365000	50810000	"1:49365000-50810000"	27.3695237194256	0	59	0
"3"	"1"	163360000	164895000	"1:163360000-164895000"	34.5940562251658	0	62	0
"4"	"1"	247800000	248395000	"1:247800000-248395000"	6.21096861454296	1.17501092544714e-06	24	9.7417746810607e-06
"5"	"1"	196075000	196660000	"1:196075000-196660000"	6.76842379501606	2.67296080269652e-07	24	2.55251654484008e-06
"6"	"1"	3995000	5510000	"1:3995000-5510000"	25.6307690864351	0	62	0
"7"	"1"	79935000	80560000	"1:79935000-80560000"	3.56891227842361	0.000547286763316612	26	0.00233465817333018
"8"	"1"	176855000	177945000	"1:176855000-177945000"	8.32066551039083	3.24386362215989e-09	44	4.46369150507627e-08
"9"	"1"	60435000	61285000	"1:60435000-61285000"	12.6232807297055	2.22044604925031e-15	35	6.51824273568814e-14
"10"	"1"	47225000	47640000	"1:47225000-47640000"	-2.05936748436287	0.742143720656535	17	0.749519766809849
"11"	"1"	214855000	215735000	"1:214855000-215735000"	6.99260876696355	1.45037063803422e-07	36	1.49293995805963e-06
"12"	"1"	60555000	61240000	"1:60555000-61240000"	7.14671614675657	9.47795928407658e-08	28	1.007001411335e-06
"13"	"1"	57285000	58515000	"1:57285000-58515000"	12.3189091694281	6.55031584528842e-15	50	1.81530781083063e-13
"14"	"1"	185715000	186225000	"1:185715000-186225000"	3.4618838649229	0.000682365928733608	21	0.0028521111599411
"15"	"1"	2710000	3340000	"1:2710000-3340000"	8.64524992117296	1.22531840229811e-09	26	1.84636381304465e-08
"16"	"1"	177195000	177925000	"1:177195000-177925000"	1.67088439671311	0.0178168849251581	30	0.0448876763880493
"17"	"1"	159205000	159730000	"1:159205000-159730000"	-0.636043871139251	0.311596993785921	22	0.388931932716096
"18"	"1"	213410000	214330000	"1:213410000-214330000"	4.64565433876147	5.43318631893719e-05	38	0.000310702992524503
"19"	"1"	29565000	29880000	"1:29565000-29880000"	3.09945437276487	0.00140650336791071	14	0.00541162412333022
"20"	"1"	217975000	218365000	"1:217975000-218365000"	-1.30015553224109	0.510028514058851	16	0.556662903116284
"21"	"1"	197490000	197900000	"1:197490000-197900000"	1.3503233610031	0.0292398363560961	17	0.0670199372349385
"22"	"1"	79960000	80405000	"1:79960000-80405000"	0.105943124281523	0.149644501052809	19	0.229238947689325
"23"	"1"	174225000	174710000	"1:174225000-174710000"	1.27967040699678	0.0324858414000001	20	0.0726409279798254
"24"	"1"	75690000	76120000	"1:75690000-76120000"	2.66548503834451	0.00321194486238929	18	0.0110782745775881
"25"	"1"	75225000	75670000	"1:75225000-75670000"	4.49588324257915	7.62826951716811e-05	18	0.000415829877531461
"26"	"1"	99605000	100175000	"1:99605000-100175000"	6.30027861365426	9.30455531511498e-07	23	7.84552185400014e-06
"27"	"1"	17970000	18910000	"1:17970000-18910000"	16.9858055761854	0	39	0
"28"	"1"	112345000	112830000	"1:112345000-112830000"	1.32824574997295	0.0302230864673597	21	0.0688752683554609
"29"	"1"	38655000	39215000	"1:38655000-39215000"	6.20765632566345	1.18519033343034e-06	23	9.80565614067734e-06
"30"	"1"	87770000	88440000	"1:87770000-88440000"	11.9451951939118	2.4535928844216e-14	28	6.43946264964423e-13
"31"	"1"	79315000	79710000	"1:79315000-79710000"	-0.928776646518255	0.394736809990534	17	0.463012092484666
"32"	"1"	228390000	228655000	"1:228390000-228655000"	1.18891077751061	0.0371107053422985	12	0.0806303318374611
"33"	"1"	168575000	169335000	"1:168575000-169335000"	14.667150561158	0	31	0
"34"	"1"	151390000	151990000	"1:151390000-151990000"	6.65678194830878	3.61205358290206e-07	25	3.37607744081153e-06
"35"	"1"	152165000	152430000	"1:152165000-152430000"	-1.13367634862093	0.457443298595993	12	0.513409173700346
"36"	"1"	108320000	108610000	"1:108320000-108610000"	1.06815124115721	0.0441345552430792	13	0.0922496004368791
"37"	"1"	227665000	227915000	"1:227665000-227915000"	1.03622142330277	0.0461710264569767	11	0.0954988402134648
"38"	"1"	67395000	67985000	"1:67395000-67985000"	6.88452315154844	1.94974048794982e-07	25	1.94831919169561e-06
"39"	"1"	243510000	243925000	"1:243510000-243925000"	3.33864701397151	0.000875357977652036	17	0.00357265053082906
"40"	"1"	12325000	12740000	"1:12325000-12740000"	5.44593071928779	8.14609572508118e-06	17	5.54690332620219e-05
"41"	"1"	11090000	11720000	"1:11090000-11720000"	11.4802878466194	1.24122934153093e-13	26	2.99938529297991e-12
"42"	"1"	113670000	114175000	"1:113670000-114175000"	1.58025447815275	0.0205558010994137	21	0.0502545587643285
