"","tad","lambdan","power","n","max.lambdan"
"1","chr10:46940000-47760000","-3.14018491736755e-16","0.9999999999999998","16","2.112147300195393"
"2","chr10:127610000-128300000","1.570092458683775e-16","0.9999999999999998","14","1.8037390652475997"
"3","chr10:9370000-10880000","-1.25607396694702e-15","0.999999999999999","31","2.0493532601244357"
"4","chr10:21560000-23380000","0.0","1.0","37","3.0651320336244208"
"5","chr10:73800000-74970000","6.2803698347351e-16","0.9999999999999996","24","2.6357810213335626"
"6","chr10:132020000-133370000","9.42055475210265e-16","0.9999999999999993","28","1.7944072808906537"
"7","chr10:38100000-38670000","-1.570092458683775e-15","0.9999999999999988","12","1.7030141404304822"
"8","chr10:64190000-65540000","-1.25607396694702e-15","0.999999999999999","28","2.1419946307849473"
"9","chr10:45730000-46320000","4.710277376051325e-16","0.9999999999999996","13","1.9165185670373113"
"10","chr10:13390000-15200000","9.42055475210265e-16","0.9999999999999993","37","2.4686966528506216"
"11","chr10:23420000-24850000","-1.570092458683775e-15","0.9999999999999988","29","1.8932885910755333"
"12","chr10:77030000-78870000","-1.25607396694702e-15","0.999999999999999","38","2.1188628584138316"
"13","chr10:14530000-15200000","7.850462293418875e-16","0.9999999999999993","14","2.0598066591770112"
"14","chr10:133960000-135470000","-6.2803698347351e-16","0.9999999999999994","31","2.5127519920413106"
"15","chr10:57590000-58680000","2.198129442157285e-15","0.9999999999999982","23","2.1748931774911857"
"16","chr10:73660000-74980000","-2.9831756714991722e-15","0.9999999999999977","27","2.5235454491291267"
"17","chr10:120780000-121670000","1.4130832128153975e-15","0.9999999999999989","19","1.9306920370500826"
"18","chr10:44140000-45380000","1.88411095042053e-15","0.9999999999999984","26","2.0192695546904904"
"19","chr10:78890000-79780000","7.850462293418875e-16","0.9999999999999993","19","2.1106193636286297"
"20","chr10:81250000-82030000","-1.25607396694702e-15","0.999999999999999","16","2.0005210893076812"
"21","chr10:19190000-19960000","1.25607396694702e-15","0.9999999999999989","17","1.840949743325576"
"22","chr10:26590000-27650000","-2.51214793389404e-15","0.999999999999998","22","2.264606903873066"
"23","chr10:12220000-13140000","1.4130832128153975e-15","0.9999999999999989","19","1.8063360018773924"
"24","chr10:1230000-3080000","-3.14018491736755e-16","0.9999999999999998","38","2.4208254492472396"
"25","chr10:20050000-21060000","6.2803698347351e-16","0.9999999999999996","21","1.8193011857476418"
"26","chr10:27680000-28700000","7.850462293418875e-16","0.9999999999999993","21","1.8170029408728312"
"27","chr10:109070000-110300000","9.42055475210265e-16","0.9999999999999993","25","1.7324740140366948"
"28","chr10:3210000-4750000","1.570092458683775e-15","0.9999999999999987","31","2.3956859948961475"
"29","chr10:6460000-7830000","-5.9663513429983445e-15","0.9999999999999952","28","2.38107849994902"
"30","chr10:119210000-120050000","-9.42055475210265e-16","0.9999999999999992","17","1.9141271345082185"
"31","chr10:22270000-23380000","9.42055475210265e-16","0.9999999999999993","23","2.083739906912446"
"32","chr10:98120000-99040000","1.570092458683775e-15","0.9999999999999987","19","2.0573316189102275"
"33","chr10:54570000-55330000","-6.2803698347351e-16","0.9999999999999994","16","1.816034696174853"
"34","chr10:98120000-99140000","1.25607396694702e-15","0.9999999999999989","21","2.0562560735419257"
"35","chr10:7880000-9340000","-3.14018491736755e-15","0.9999999999999974","30","1.9971364794673363"
"36","chr10:72170000-73580000","6.2803698347351e-15","0.9999999999999949","29","2.138788314605654"
"37","chr10:35910000-37160000","-1.570092458683775e-16","0.9999999999999999","26","1.9967385467874463"
"38","chr10:93130000-93670000","2.826166425630795e-15","0.9999999999999978","12","1.6718990626320087"
"39","chr10:72650000-73470000","-9.42055475210265e-16","0.9999999999999992","17","2.0280764896137486"
"40","chr10:91530000-92470000","-2.6691571797624175e-15","0.9999999999999979","20","1.7610225294261326"
"41","chr10:102800000-103540000","2.0411201962889075e-15","0.9999999999999984","15","1.7789135385617394"
"42","chr10:100210000-101080000","4.239249638446192e-15","0.9999999999999967","18","1.7533594435408317"
"43","chr10:130820000-131970000","-2.826166425630795e-15","0.9999999999999978","24","2.180701471056033"
"44","chr10:62560000-63470000","-6.2803698347351e-16","0.9999999999999994","19","1.8539203334442855"
"45","chr10:76000000-76990000","-3.14018491736755e-16","0.9999999999999998","20","2.2569720192089675"
"46","chr10:68740000-69340000","-1.570092458683775e-15","0.9999999999999988","13","1.59846674658157"
"47","chr10:114230000-115340000","-1.7271017045521525e-15","0.9999999999999987","23","1.9685125667337395"
"48","chr10:67160000-67840000","-2.3551386880256623e-15","0.9999999999999981","14","1.6181046349432497"
"49","chr10:64190000-64900000","2.51214793389404e-15","0.999999999999998","15","1.9112908298628923"
"50","chr10:115430000-115920000","-1.570092458683775e-15","0.9999999999999988","11","1.7144119075654638"
"51","chr10:104480000-105120000","0.0","1.0","14","1.6389447804511366"
"52","chr10:85880000-86320000","-9.42055475210265e-16","0.9999999999999992","10","2.0597942386421813"
"53","chr10:116030000-116900000","1.570092458683775e-15","0.9999999999999987","18","2.0177704644167247"
"54","chr10:4860000-5420000","-2.198129442157285e-15","0.9999999999999982","12","1.6341648472454176"
"55","chr10:6770000-7830000","3.14018491736755e-16","0.9999999999999998","22","2.298425410581798"
"56","chr10:117500000-118150000","9.42055475210265e-16","0.9999999999999993","13","1.7255899115261881"
"57","chr10:133990000-134480000","-4.710277376051325e-16","0.9999999999999997","11","2.0653615977165978"
"58","chr10:78900000-79470000","2.51214793389404e-15","0.999999999999998","12","1.7887626986872098"
"59","chr10:69590000-70090000","1.25607396694702e-15","0.9999999999999989","11","2.1287194551307618"
"60","chr10:30970000-32100000","4.39625888431457e-15","0.9999999999999964","23","2.5961269472925412"
"61","chr10:118420000-118940000","2.0411201962889075e-15","0.9999999999999984","11","1.6919088597797798"
"62","chr10:32740000-33440000","9.42055475210265e-16","0.9999999999999993","15","1.7270409896148653"
"63","chr10:15910000-16850000","-9.42055475210265e-16","0.9999999999999992","19","1.7848830779067462"
"64","chr10:23410000-24000000","7.850462293418875e-16","0.9999999999999993","12","1.703384264498738"
"65","chr10:77040000-77790000","-3.14018491736755e-16","0.9999999999999998","16","2.1750319759323227"
"66","chr10:32120000-32660000","1.0990647210786425e-15","0.9999999999999991","12","1.7434361285491793"
"67","chr10:121710000-122560000","1.25607396694702e-15","0.9999999999999989","18","1.8689164288076614"
"68","chr10:105450000-106010000","-4.710277376051325e-16","0.9999999999999997","12","1.7947077751246838"
"69","chr10:101540000-101990000","-3.14018491736755e-16","0.9999999999999998","10","1.7723493722137103"
"70","chr10:15250000-15860000","-1.25607396694702e-15","0.999999999999999","13","1.842378820562337"
"71","chr10:26010000-26560000","3.14018491736755e-16","0.9999999999999998","12","1.6082852429361887"
"72","chr10:120790000-121310000","-3.14018491736755e-16","0.9999999999999998","12","1.8799768306175642"
"73","chr10:96890000-97370000","-7.850462293418875e-16","0.9999999999999993","11","1.6993005140249482"
"74","chr10:82410000-82970000","1.0990647210786425e-15","0.9999999999999991","12","1.9246633800366726"
"75","chr10:100510000-101060000","0.0","1.0","12","1.8415325256986839"
"76","chr10:24880000-25360000","-1.4130832128153975e-15","0.9999999999999989","11","1.728653749733356"
"77","chr10:89580000-90310000","-1.570092458683775e-15","0.9999999999999988","16","2.119416423245967"
"78","chr10:64930000-65490000","-9.42055475210265e-16","0.9999999999999992","12","1.7689025670145497"
"79","chr10:70170000-70690000","-1.88411095042053e-15","0.9999999999999984","11","2.1459102520864928"
"80","chr10:33600000-34380000","2.198129442157285e-15","0.9999999999999982","16","2.0324626282420812"
"81","chr10:109140000-110020000","3.14018491736755e-16","0.9999999999999998","19","1.7319913754217733"
"82","chr10:124770000-125320000","-2.0411201962889075e-15","0.9999999999999983","12","1.7970107339073491"
"83","chr10:24260000-24840000","-2.0411201962889075e-15","0.9999999999999983","12","1.6278500286367144"
"84","chr10:91000000-91490000","2.6691571797624175e-15","0.9999999999999978","10","1.4164390954880408"
"85","chr10:87280000-88130000","1.25607396694702e-15","0.9999999999999989","18","1.9510659849788383"
