,tad,lambdan,p-value,n,max.lambdan
1,chr10:9370000-10880000,-0.324088171,0.745871282,16,1.862464057
2,chr10:21560000-23380000,2.877813436,0.004004419,19,2.716893272
3,chr10:73800000-74970000,-1.82770582,0.067593714,12,2.395082962
4,chr10:132020000-133370000,-0.089112506,0.928992499,14,1.6635939
5,chr10:64190000-65540000,0.749922812,0.453301194,15,2.124137287
6,chr10:13390000-15200000,-1.272667099,0.203136197,19,2.398218394
7,chr10:23420000-24850000,-0.032249672,0.974272944,15,1.808810347
8,chr10:77030000-78870000,0.141995382,0.887083653,19,2.147373441
9,chr10:133960000-135470000,-0.773498006,0.439227708,16,2.21719422
10,chr10:57590000-58680000,0.442031951,0.658466085,12,2.109017508
11,chr10:73660000-74980000,-1.099573044,0.271518192,14,2.175540949
12,chr10:120780000-121670000,0.044152651,0.964782724,10,1.735719126
13,chr10:44140000-45380000,-0.186941367,0.851706605,13,1.705984038
14,chr10:78890000-79780000,-1.463507757,0.143328493,10,2.254185835
15,chr10:26590000-27650000,1.082941684,0.278834308,12,2.028184117
16,chr10:12220000-13140000,-0.215677902,0.829238827,10,1.841828853
17,chr10:1230000-3080000,1.641880607,0.10061475,19,2.458103309
18,chr10:20050000-21060000,0.257135593,0.797074102,11,1.83712993
19,chr10:27680000-28700000,-0.314683663,0.753001849,11,1.538316532
20,chr10:109070000-110300000,-0.663106373,0.507262429,13,1.797476844
21,chr10:3210000-4750000,0.480277877,0.631029817,16,2.120342415
22,chr10:6460000-7830000,0.534284045,0.593145029,15,1.977991951
23,chr10:22270000-23380000,0.244403414,0.806918398,12,1.880201425
24,chr10:98120000-99040000,0.374448567,0.708070615,10,1.847233828
25,chr10:98120000-99140000,0.436215816,0.662680154,11,1.935856366
26,chr10:7880000-9340000,0.155312969,0.876574592,16,1.895700193
27,chr10:72170000-73580000,-1.109174654,0.267354844,15,2.227531382
28,chr10:35910000-37160000,-0.542205413,0.587677007,13,1.798731426
29,chr10:91530000-92470000,0.009723208,0.992242125,10,1.667766736
30,chr10:130820000-131970000,0.91171848,0.361916933,12,2.090310408
31,chr10:62560000-63470000,-0.029532827,0.976439638,10,1.760320631
32,chr10:76000000-76990000,-0.689919819,0.490244611,10,1.965235446
33,chr10:114230000-115340000,0.088874916,0.929181319,12,1.59306722
34,chr10:6770000-7830000,0.437151473,0.6620015,12,2.011880733
35,chr10:30970000-32100000,0.520582883,0.602657376,12,2.15872894
36,chr10:15910000-16850000,0.680543923,0.49616012,10,1.737427059
37,chr10:109140000-110020000,-0.536234181,0.591796713,10,1.811277874
38,chr10:87280000-88130000,0.134601442,0.892927001,10,1.800113409
39,chr10:79800000-80990000,-0.214499649,0.83015744,12,1.769795055
40,chr11:48180000-50770000,0.098567783,0.921481451,27,2.009150799
41,chr11:48190000-49610000,0.726623468,0.467456648,16,1.766129105
42,chr11:46720000-47730000,-0.763747253,0.445017875,11,1.90982928
43,chr11:114560000-116580000,0.49732749,0.618958129,21,1.981218124
44,chr11:35560000-36540000,-0.064198129,0.948812467,11,1.727505029
45,chr11:114990000-116570000,0.406846638,0.684120631,17,1.959401845
46,chr11:129710000-130800000,0.691988069,0.488944822,11,1.841311073
47,chr11:126290000-127660000,0.533357032,0.593786455,15,1.738311414
48,chr11:110320000-111370000,0.242362054,0.808499635,11,1.689181747
49,chr11:34530000-35460000,0.038796277,0.969052813,10,1.744959574
50,chr11:120200000-121480000,-0.525727627,0.599077466,13,2.015523065
51,chr11:15290000-16720000,0.021063388,0.98319509,16,1.899260398
52,chr11:105930000-107120000,-0.418546758,0.675547408,13,1.715430821
53,chr11:26300000-27520000,0.098538909,0.921504377,13,1.71417627
54,chr11:19040000-20390000,-0.001291643,0.998969419,14,1.81636908
55,chr11:55670000-56570000,0.077956083,0.937862987,10,1.540333255
56,chr11:20670000-22160000,0.538834585,0.590000998,16,1.94041594
57,chr11:59500000-60520000,0.036496361,0.97088658,11,2.096712413
58,chr11:6800000-7820000,-0.483130777,0.629002883,11,1.749069109
59,chr11:10890000-12310000,-0.557618707,0.577104779,16,1.899446567
60,chr11:126190000-127410000,0.462906504,0.643431385,14,1.820993591
61,chr11:44090000-45810000,0.758821968,0.447959062,19,2.319847541
62,chr11:31360000-32240000,-0.408342915,0.683021936,10,1.988417991
63,chr11:10800000-12010000,0.243595755,0.807543916,13,1.768980461
64,chr11:15650000-16710000,-0.920793759,0.357158114,12,2.014740144
65,chr11:41520000-42530000,0.904410236,0.365777913,11,2.104190734
66,chr11:75110000-76220000,0.55432425,0.579356957,12,2.097466761
67,chr11:10930000-11810000,0.648989744,0.516345005,10,1.842336504
68,chr11:9780000-10760000,0.721739612,0.470454583,11,1.949841389
69,chr11:75110000-76420000,0.981659784,0.326267484,14,2.280526959
70,chr11:131570000-132840000,-0.175530519,0.860662792,14,1.78744046
71,chr11:115190000-116140000,0.336115657,0.736783652,11,1.930935055
72,chr11:112160000-113150000,-0.003900605,0.996887776,11,1.904013723
73,chr11:121520000-122420000,-0.131243672,0.895582549,10,1.762227784
74,chr11:93560000-94660000,0.784375024,0.432820089,12,2.028413742
75,chr11:19060000-19940000,-0.401986301,0.687694108,10,1.789439542
76,chr12:60280000-62590000,-0.9279766,0.353419708,24,1.938275394
77,chr12:86420000-88390000,-0.143147082,0.886174021,20,1.667648347
78,chr12:60940000-62200000,-0.217815249,0.827573062,13,1.677078207
79,chr12:60920000-62420000,-0.546487101,0.584731152,16,1.799975623
80,chr12:33180000-34140000,0.194585885,0.845717154,11,1.581732295
81,chr12:104230000-105570000,-0.500616266,0.616641213,14,1.986879572
82,chr12:97180000-98850000,1.383826955,0.166411447,18,2.251345413
83,chr12:65160000-66520000,0.053287094,0.957503163,15,2.037793491
84,chr12:58620000-59590000,0.816251089,0.414356542,10,1.889275487
85,chr12:11680000-12900000,-0.177592959,0.859042654,13,1.795626274
86,chr12:29600000-30980000,-0.645219139,0.518785185,14,2.219435305
87,chr12:38710000-39670000,0.856427316,0.391761461,10,1.974009803
88,chr12:128970000-130490000,-0.939971237,0.347232314,16,1.994633773
89,chr12:13010000-14230000,0.276867158,0.781882111,13,1.997485795
90,chr12:96960000-98850000,1.531406981,0.12566884,20,2.297988952
91,chr12:54970000-56040000,-0.178799401,0.858095216,12,1.707746313
92,chr12:27880000-29130000,1.196309126,0.231575949,14,2.251345672
93,chr12:23320000-24980000,-1.080610607,0.279870362,17,2.134823257
94,chr12:78670000-79770000,0.009284124,0.992592448,12,1.688825024
95,chr12:31440000-32500000,-0.326989172,0.743676075,11,1.979248635
96,chr12:91740000-93090000,0.676679323,0.498609438,14,1.867260931
97,chr12:51800000-53390000,-0.47220026,0.636783854,16,1.701134775
98,chr12:58360000-59590000,0.802330469,0.422361822,13,1.818640155
99,chr12:97370000-98810000,1.060027072,0.289132283,16,2.159620066
100,chr12:75870000-76970000,-0.655562524,0.512105645,12,2.11421131
101,chr12:131300000-132400000,0.161805308,0.871459173,11,1.658917097
102,chr12:78520000-79770000,0.682424715,0.494970432,13,1.939535803
103,chr12:18280000-19390000,-0.195398418,0.845081055,12,1.99149171
104,chr12:46380000-47410000,0.125801304,0.89988921,12,1.843638039
105,chr12:118840000-120080000,-0.183508958,0.854398691,13,1.841008152
106,chr12:110330000-111280000,1.486603994,0.137119432,10,2.119690108
107,chr12:124260000-125390000,-0.288031911,0.773322312,12,1.735437423
108,chr12:44330000-45350000,-0.134503496,0.893004446,11,1.570831234
109,chr12:77420000-78350000,0.133438559,0.893846553,10,1.859605183
110,chr12:92160000-93080000,0.151936284,0.87923719,10,1.610135466
111,chr12:88450000-89390000,-0.135241992,0.892420547,10,1.819073306
112,chr12:94510000-95410000,0.210116491,0.833576755,10,1.851025088
113,chr12:102290000-103200000,-0.324985313,0.745192188,10,1.871188491
114,chr12:115080000-116310000,-0.186006043,0.852440022,14,2.202998327
115,chr12:120730000-121690000,-0.632749637,0.52689715,10,1.8779228
116,chr13:112100000-113110000,-0.378247452,0.705246778,10,1.602093265
117,chr13:53740000-58030000,0.41337403,0.679332599,44,1.993174082
118,chr13:92780000-95060000,-0.045282959,0.96388177,24,1.964841399
119,chr13:68820000-69950000,-0.061454548,0.950997212,12,1.733307768
120,chr13:30040000-31470000,-0.457986908,0.646961847,15,1.934711561
121,chr13:22180000-23280000,-0.167475597,0.866995847,12,1.751585266
122,chr13:22170000-23790000,-0.660263409,0.509084807,17,2.416209378
123,chr13:51690000-52810000,0.369399966,0.711829624,13,1.612170922
124,chr13:88710000-89750000,0.518642136,0.60401032,11,1.754836587
125,chr13:25970000-27460000,0.90285829,0.36660111,16,2.027830817
126,chr13:30040000-31650000,-0.643773572,0.519722273,17,1.946902197
127,chr13:36520000-37570000,0.264756312,0.791197194,11,1.740627795
128,chr13:65080000-66210000,0.025827678,0.979394786,13,1.87856814
129,chr13:84170000-85230000,-0.722553091,0.469954497,12,1.952676497
130,chr13:78700000-79920000,1.519000903,0.128762269,13,2.345375025
131,chr13:33150000-34410000,0.345359826,0.729823875,14,2.072652701
132,chr13:80190000-81510000,-0.018919769,0.984905109,15,1.897137553
133,chr13:73360000-74270000,-0.326953563,0.743703008,10,1.734957419
134,chr13:107810000-108800000,-0.664002344,0.506688811,10,1.760344825
135,chr13:20750000-22080000,-0.073179092,0.941663604,14,2.040639514
136,chr13:76420000-77540000,0.77832067,0.436379993,12,1.70772019
137,chr13:61170000-62050000,0.19428754,0.845950742,10,1.840467241
138,chr13:43160000-44440000,0.38799006,0.698023389,14,1.796482798
139,chr13:96720000-97620000,0.266930013,0.789523048,10,1.630307337
140,chr13:41890000-42820000,-0.503900454,0.614331332,11,1.781088054
141,chr13:27510000-28570000,2.337945658,0.019390067,11,2.482986554
142,chr13:47380000-48370000,-0.171680235,0.863688925,11,1.713360077
143,chr13:40260000-41330000,-0.640597841,0.521784003,12,2.005358823
144,chr13:98570000-99500000,0.193340673,0.846692174,10,1.528779266
145,chr13:50650000-51650000,0.151275599,0.879758317,11,1.512209644
146,chr13:44460000-45540000,-0.368347795,0.712613919,12,1.704333205
147,chr13:109590000-110800000,-0.549691502,0.582530986,13,2.03101823
148,chr13:34740000-35730000,-0.181215748,0.856198234,11,1.680222222
149,chr13:50510000-51650000,-0.061921345,0.950625469,12,1.66796323
150,chr13:46070000-46920000,-0.236737076,0.81286077,10,1.732056354
151,chr13:100270000-101200000,0.445306762,0.656098082,10,1.902249028
152,chr13:19020000-20190000,-0.682008194,0.49523377,12,1.786006849
153,chr14:19360000-20720000,0.658588268,0.510160198,15,2.021397775
154,chr14:25800000-29120000,-0.485897078,0.62704014,34,1.907614849
155,chr14:46900000-49870000,0.118162798,0.905938666,30,2.155047429
156,chr14:62670000-63560000,0.029893057,0.976152343,10,1.626468591
157,chr14:64080000-64980000,0.940661942,0.346878128,10,2.073733316
158,chr14:23560000-24780000,-0.303360213,0.761615363,13,1.883942041
159,chr14:88360000-89460000,0.49257814,0.622310697,12,1.779738109
160,chr14:23560000-24910000,-1.550788394,0.120952403,15,2.330364263
161,chr14:23570000-24590000,0.121234269,0.903505482,11,1.857801666
162,chr14:105520000-107280000,-2.005773429,0.044880427,18,2.499039444
163,chr14:50050000-51010000,0.042574226,0.966040942,11,1.862103776
164,chr14:55890000-56940000,-0.285937717,0.774925825,12,1.914123648
165,chr14:97450000-99820000,0.470867975,0.637735019,25,1.940231638
166,chr14:66820000-67810000,1.657193821,0.097480295,11,2.291427569
167,chr14:62640000-63740000,-0.102198088,0.918599446,12,1.681147548
168,chr14:70240000-71320000,0.034465703,0.972505791,12,1.816470227
169,chr14:33040000-34260000,0.741720217,0.458256868,13,1.858186571
170,chr14:91970000-93150000,0.101700239,0.918994612,13,1.968242418
